Company Name
 ENGINEERING COMPANY (
 DIPAK FOODS PRIVATE LIMITED
 FOR AUDIT QUALITY PRIVATE LIMITED
 RAJVI ENGINEERING & INVESTMENTS PRIVATE LIMITED
 THE BOMBAY FLYING CLUB LIMITED
 THE WESTERN INDIA AUTOMOBILE ASSOCIATION
 VIDZELL PRIVATE LIMITED
' UJJAINI ' CONSTRUCTION PRIVATE LIMITED
''ATZI'' MINING AND TRADING PRIVATE LIMITED
'ARRY INDUSTRIES LIMITED
'C' FILORUX MEDIA CONSULTANCY PRIVATE LIMITED
'C' NET NETWORK MARKETING PRIVATE LIMITED
'E' WINGS MERCHANDISERS PRIVATE LIMITED
'EK NAYEE DISHA' FOUNDATION
'HAC' HEARING AID CENTRE PRIVATE LIMITED
'K' LINE (INDIA) PRIVATE LIMITED
'K' LINE (INDIA) SHIPPING PRIVATE LIMITED
'N' OPTIONS PRIVATE LIMITED
'P SQUARE RESTAURANTS INDIA PRIVATE LIMITED .'
'SPICE OF LIFE' FOODS PRIVATE LIMITED
'T' SQUARE ENTERPRISES PRIVATE LIMITED
'THOUGHTRIDGE SOLUTIONS PRIVATE LIMITED
'V' SHARE WEBNET SOLUTIONS PRIVATE LIMITED
'X' ASSOCIATED SERVICES PRIVATE LIMITED
'X'CLUSIVE BUSINESS CENTRE PVT LTD
'YUVAMANCH' EIKPRAYAS FOUNDATION
(AMALGAMATED WITH CO.NO.12871). MFG.(INDIA)PVT LTD.
(COFFEE CONNOISSEUR'S) BEANLUST PRIVATE LIMITED
(E)PRO SOLUTIONS PRIVATE LIMITED
(HMW) HEALTH MECHANIC WORKSHOP INDIA PRIVATE LIMITED
(KOFPC) KAMANA ORGANIC FARMERS PRODUCER COMPANY LIMITED
(S.S.S.) SAPNA SECURITY SERVICES PRIVATE LIMITED
(SGS) SAFFRON GLOBAL SERVICES PRIVATE LIMITED
**
++++R MANUFACTURING AND PRESS COMPANY LIMITED
+ATAN DWEEP PROPERTIES AND RESORTS PRIVATE LIMITED
+SHRAF COLD STORAGE PVT LTD.
","
-NDO GULF ENGINEERING PRIVATE LIMITED
. ABS AVIATION AND LOGISTICS PRIVATE LIMITED
. FINE LINE MEDIA PRIVATE LIMITED
. M. KARACHIWALA AND COMPANY LIMITED
..KALRA INVESTMENTS COMPANY PRIVATE LIMITED
.ACROSS LABORATORIES PRIVATE LIMITED
.BHARATH SHIPPING AND LOGISTICS (INDIA) PRIVATE LIMITED
.EMBROIDERS MART (INDIA) PRIVATE LIMITED
.HARYANA CITY GAS DISTRIBUTION (BHIWADI) LIMITED
.HEATH BUILDING SERVICES PRIVATE LIMITED
.LEDER TRENDZ PRIVATE LIMITED
.NUPURA DESIGN STUDIO PRIVATE LIMITED
.PRATIBHA EQUITY TRADES PRIVATE LIMITED.
.RICHLOOKS APPARELS PRIVATE LIMITED.
.ROYAL CAPS & CLOSURES PRIVATE LIMITED
.SHREE RADHEY TOUR AND TRAVEL PRIVATE LIMITED
.ST SQUARE CONSULTANTS PRIVATE LIMITED
.UTKAL FINANCE (CHIT) AND TRADING CO. PVT LTD
.VN ADVERTISING. PRIVATE LIMITED.
0 TO 1 ARTILLIGENCE PRIVATE LIMITED
0 TO 1 STUDIO PRIVATE LIMITED
0 TO 100 GLOBAL PRIVATE LIMITED
0-MILE TOUR AND TRAVEL PRIVATE LIMITED
0.5BN FINHEALTH PRIVATE LIMITED
007 UNIVERSE RESORTS & SPA PRIVATE LIMITED
007 UNIVERSE RESORTS PRIVATE LIMITED
008TECHUIT INDIA PRIVATE LIMITED
00E MANOHAR HEREDITERY BOND AND LOAN COMPANY LIMITED
010 BLEND PRIVATE LIMITED
0101 DIGIT ALL SOLUTONS PRIVATE LIMITED
0101 TODAY PRIVATE LIMITED
01BYTETECH PRIVATE LIMITED
01COLLAB SOFTECH PRIVATE LIMITED
01SYS INNOVATIVE SOLUTIONS PRIVATE LIMITED
01XARXA TECHNOLOGIES PRIVATE LIMITED
02 HEALTHCARE (INDIA) PRIVATE LIMITED
021 CAPITAL PARTNERS PRIVATE LIMITED
021 FAMILY OFFICE PRIVATE LIMITED
